asset_path,asset_type,referenced_by_count,referenced_pages,production_request_status,required_for_rendering,candidate_source,source_hash,restored,verified,classification
/wp-includes/js/jquery/jquery-migrate.min.js,js,31,about/index.html;air-quality-testing/index.html;blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-includes/js/jquery/jquery.min.js,js,31,about/index.html;air-quality-testing/index.html;blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/xmlrpc.php,php,31,about/index.html;air-quality-testing/index.html;blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html,MISSING_LOCAL,NO,,,NO,NO,UNKNOWN
/wp-includes/js/dist/hooks.min.js,js,30,about/index.html;air-quality-testing/index.html;blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-includes/js/dist/i18n.min.js,js,30,about/index.html;air-quality-testing/index.html;blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-includes/js/dist/vendor/wp-polyfill.min.js,js,18,blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html;indoor-air-quality-testing/index.html;is-mold-aspergillus-dangerous/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles.css,css,17,blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html;indoor-air-quality-testing/index.html;is-mold-aspergillus-dangerous/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-content/cache/min/1/wp-content/themes/flatsome/assets/css/flatsome.css,css,17,blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html;indoor-air-quality-testing/index.html;is-mold-aspergillus-dangerous/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-content/themes/flatsome/assets/css/ie-fallback.css,css,17,blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html;indoor-air-quality-testing/index.html;is-mold-aspergillus-dangerous/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js,js,17,blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html;indoor-air-quality-testing/index.html;is-mold-aspergillus-dangerous/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-content/themes/flatsome/assets/libs/ie-flexibility.js,js,17,blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html;indoor-air-quality-testing/index.html;is-mold-aspergillus-dangerous/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
/wp-includes/js/hoverIntent.min.js,js,17,blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html;indoor-air-quality-testing/index.html;is-mold-aspergillus-dangerous/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
t,page,17,blog/index.html;category/mold/index.html;cleaning-sanitation-of-structure/index.html;contact-us-today/index.html;containment-in-affected-areas/index.html;deodorization/index.html;faqs-about-mold-and-mildews/index.html;faqs/index.html;get-an-quote/index.html;humidity-and-mold-growth/index.html;indoor-air-quality-testing/index.html;is-mold-aspergillus-dangerous/index.html,MISSING_LOCAL,NO,,,NO,NO,UNKNOWN
/wp-includes/js/jquery/ui/core.min.js,js,13,about/index.html;air-quality-testing/index.html;index.html;mold-inspection-and-testing/index.html;mold-inspection-yachts/index.html;mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html;mold-removal-and-remediation/index.html;mold-removal-in-fort-pierce/index.html;mold-removal-port-saint-lucie/index.html;mold-removal-west-palm-beach/index.html;our-credentials/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
a,page,13,about/index.html;air-quality-testing/index.html;index.html;mold-inspection-and-testing/index.html;mold-inspection-yachts/index.html;mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html;mold-removal-and-remediation/index.html;mold-removal-in-fort-pierce/index.html;mold-removal-port-saint-lucie/index.html;mold-removal-west-palm-beach/index.html;our-credentials/index.html,MISSING_LOCAL,NO,,,NO,NO,UNKNOWN
/wp-includes/js/comment-reply.min.js,js,6,faqs-about-mold-and-mildews/index.html;humidity-and-mold-growth/index.html;is-mold-aspergillus-dangerous/index.html;mold-grow-under-vinyl-plank-flooring/index.html;mold-removal-vs-remediation/index.html;types-of-mold/index.html,MISSING_LOCAL,YES,,,NO,NO,CRITICAL_REFERENCED
whatsapp://send,page,6,faqs-about-mold-and-mildews/index.html;humidity-and-mold-growth/index.html;is-mold-aspergillus-dangerous/index.html;mold-grow-under-vinyl-plank-flooring/index.html;mold-removal-vs-remediation/index.html;types-of-mold/index.html,MISSING_LOCAL,NO,,,NO,NO,UNKNOWN
/wp-content/uploads/2025/09/MOLD-REMEDIATION-SERVICES-IN-BOCA-RATON-150x150.jpg,image,5,about/index.html;mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html;mold-removal-port-saint-lucie/index.html;mold-removal-west-palm-beach/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2025/09/MOLD-REMEDIATION-SERVICES-IN-BOCA-RATON-300x300.jpg,image,5,about/index.html;mold-remediation-in-fort-lauderdale/index.html;mold-remediation-vero-beach-fl/index.html;mold-removal-port-saint-lucie/index.html;mold-removal-west-palm-beach/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/11/MOLD-INSPECTION-AND-TESTING-square-image1-150x150.jpg,image,3,cleaning-sanitation-of-structure/index.html;containment-in-affected-areas/index.html;deodorization/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/11/MOLD-INSPECTION-AND-TESTING-square-image1-300x300.jpg,image,3,cleaning-sanitation-of-structure/index.html;containment-in-affected-areas/index.html;deodorization/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
/wp-content/uploads/2022/11/MOLD-INSPECTION-AND-TESTING-square-image2-150x150.jpg,image,3,cleaning-sanitation-of-structure/index.html;containment-in-affected-areas/index.html;deodorization/index.html,MISSING_LOCAL,NO,,,NO,NO,REFERENCED_NONCRITICAL
